review,sentiment
"Apartman je jako mal i nema puno toga Å¡to treba imati jedan apartman. U kuhinji nedostaje puno toga... U samom objektu velika je buka od strane ulice i samih apartmana koji se nalaze pored. ÄŒuje se svaka rijeÄ iz susjednih apartmana. Za Äetiri dana boravka dobili smo po osobi jedan veliki i jedan mali ruÄnik :-(.
U okviru objekta se ne nalazi garaÅ¾a niti parkirno mjesto, stoga putnici koji dolaze sa autom i sa dosta osobne prtljage neka izaberu drugo mjesto.",negativan
Slabije grejanje u sobi,negativan
Check in je kasnio 20ak min sto ne bi bio problem da nisam bio sa malom bebom..,negativan
Nemamo primedbe.,negativan
Sve je bilo u najboljem redu.,negativan
Ventilacija je loÅ¡a.,negativan
Nema toga,negativan
ÄŒistoÄa u wc I par stvari u sobi kao na primer prljava stolica I sto.,negativan
"Internet nije radio ceo dan, a bio nam je jako potreban za posao. Mozda da se pronadje rezervno resenje ukoliko dodje do takvih situacija opet.",negativan
Hotel je bio super ranije ali danas smo platili dorucak ali nije bilo mesto i morali smo da cekamo da neko ustane pa da jedemo.Cudno.Nazalost nismo imali vremena da cekamo a platili smo,negativan
"U toaletu se osjecao neprijatan miris iz kanalizacije, tokom citavog boravka. Neprijatno iznenadjenje je sto restoran ne radi za praznike, mi smo bili za Vaskrs, i tada umjesto placenog dorucka dobijete mali sendvic i pomorandzu. Nemaju odvojen caffe bar od restorana, tako da kada je praznik u hotelu nemate gdje ni kafu popiti.",negativan
Buka zbog graÄ‘evinskih radova tokom Äitave nociâ€¦,negativan
Trazenje mjesta za parking,negativan
Bez zamjerke,negativan
Nemam zamerke.,negativan
"Nema niÅ¡ta Å¡to bih naveo, sve je bilo u redu...",negativan
Sve je bilo savrseno!,negativan
mali Lavabo za umivanje,negativan
Nema,negativan
"Dorucak!!!
Pogotovo za malo dijete",negativan
"Svaki dan je u restoranu Å¾iva glazba Å¡to moÅ¾e biti prednost, ali i mana. Iako se u sobu ne Äuje jako buka, ipak je prisutna pozadinska buka pa ako se poslovno putuje usred tjedna, moÅ¾e biti malo nezgodno za osobu koja nije naviknuta na buku.",negativan
Treba malo poveÄ‡ati higijenu u restoranu i dodati vegansku opciju doruÄka,negativan
"Prilikom ulaska u sobu, a usli smo oko 19h  osetio se miris spremanja hrane. 
Kako se ispod soba nalazi restoran  koji radi inaÄe nevezano za goste hotela znao sam da je zbog toga.
PoÄelo da miriÅ¡e kada je ukljuÄeno grejanje.
Trebalo bi da se pozabave time. Nama nije zasmetalo, ali Ä‡e biti onih kojima Ä‡e smetati.
Naravno kasnije se taj miris nije osetio.",negativan
nimam pripomb,negativan
NaÅ¾alost jako puno pljesni u tuÅ¡ kabinama.,negativan
ne postoji takvo sto,negativan
sve mi se svidjelo,negativan
Nemam primjedbu...,negativan
Nemam zamjerki. Sve preporuke.,negativan
"Sve je bilo dobro sem Å¡to nisam mogla da dobijem povraÄ‡aj novca, a morala sam da izaÄ‘em ranije od zakazanog izlaska. Platila sam za 3 noÄ‡i, a nisam uopÅ¡te prespavala jer mi je neÅ¡to iskrislo. Nisam oÄekivala da Ä‡e mi vratiti za prvu noÄ‡ novac, ali za preostale dve da, barem neki deo, ali ne... Me znam kako je inaÄe po hostelima, ovo mi je prvi put, ali u hotelima se vraÄ‡a novac za raniji checkout.",negativan
NiÅ¡ta.,negativan
"Nema doruÄka, prilikom check in-a osoblje nije bilo na recepciji veÄ‡ smo morale zvati broj da doÄ‘e osoblje koje je bilo negdje izvan hotela na kavi te smo potroÅ¡ili impulse na mobitelu. ÄŒistaÄica nije oÄistila sobu promijenila ruÄnike te stavila toalet papir veÄ‡ smo se trebali snaÄ‡i sami.",negativan
Frizider je bio prazan. U toaletu nema dovoljno mesta da se sedne na wc solju.,negativan
"Internet je veoma spor, na duÅ¾e vreme i potpuno neupotrebljiv i to verovatno zbog ""gostiju"" koji oÄigledno ""rade"" od ""kuÄ‡e"" na raÄunarima.",negativan
Sve je okej,negativan
Ne postoji,negativan
"Nije mi se svidjeo nacin serviranja dorucka,ogranicen izbor A la cart, vlasniku preporucujem da postavi Å vedski stol, pa da tu ima slani i slatki izbor.",negativan
Fali kuhalo za Äaj i kavu,negativan
"Nedostatak kuhala, jedina mana koju mogu reci da je nedostajala",negativan
Jastuci mogu biti bolji. Tus kabine zrele za renoviranje.,negativan
Sve je bilo dobro,negativan
Cijene u restoranu,negativan
Nemam zamjerki za hotel,negativan
Mozda da se razmisli o zamjeni tepiha u sobama.,negativan
Nemam niÅ¡ta po tom pitanju za reÄ‡i.,negativan
"Dodati podmetaÄe (papirnate) na doruÄku, generalno poraditi na ÄistoÄ‡i stolova i opÄ‡enito kvaliteti breakfast rooma. Zaposlenima pronaÄ‡i adekvatnu prostoriju za dnevne brifinge, neprimjereno je da svi gosti sluÅ¡aju o dnevnim operacijama hotela za vrijeme doruÄka.",negativan
Nema.,negativan
Sve je bilo odliÄno,negativan
Nije mi se dopalo Å¡to moram iÄ‡i kuÄ‡i ðŸ˜‚,negativan
Nema negativnosti.,negativan
Ivice na tv komodi bi mogle da imaju zaÅ¡titu za decu. Eto jedina sugestija :),negativan
Nemam nikakvih zamerki,negativan
Pogled na dvoriste  oronule stare zgrade,negativan
Nema dovoljno dnevne svetlosti u sobi.Ulaz u zgradu je prljav i neuredan.,negativan
Krevet i jastuci nisu bas udobni.,negativan
internet zna biti problematiÄan i sobe se ne zakljuÄavaju,negativan
Kartica za sobu nije radila. I iskljuÄena je u 10:45 Å¡to nije ok.,negativan
Nema papuca u sobi,negativan
Recepcionerka,negativan
Ulaz i izlaz iz garaÅ¾e,negativan
Ispravnost namjeÅ¡taja,negativan
"Sve je novo, sve veoma Äisto, usluga domaÄ‡ina je izvanredna.",negativan
Buka na gradiliÅ¡tu.,negativan
Apsolutno nema losih stvari.,negativan
Malo je problem parkiranja. Ja sam imao sreÄ‡e jer je bio praznik ine plaÄ‡a se pa sam uspjeo naÄ‡i mjesto i tu drÅ¾ati vozilo. InaÄe u ovoj zoni moÅ¾ete najviÅ¡e sat parkirati. Tako da morate naÄ‡i neku garaÅ¾u u blizini. Ima od 12-15 eura dan.,negativan
U 3 dana boravka samo smo dva puta vidili nekog na recepciji. 90 posto vrimena je bila zakljucana. Soba se nalazila iznad fast food-a koji jako smrdi,negativan
Ulaz u objekt je kroz neuredan i slabo osvijetljen haustor. Jako loÅ¡ dojam i neugodan osjeÄ‡aj.,negativan
"Probali su skinuti sredstva na platnoj kartici. Kad sam ih nazvao rekli su da nisam doÅ¡ao na vrijeme, pa su poslije traÅ¾ili sobu. Sramota",negativan
Pogled iz prozora nije se sviÄ‘ao nama. To je bio zid druge zgrade,negativan
Sve je bilo na razini.,negativan
Nije bilo niÅ¡ta za Å¡ta mogu da kaÅ¾em da mi se nije dopalo.,negativan
"Za sad je sve dobro, samo odrÅ¾ite dostignuti nivo.",negativan
"U sklopu aranÅ¾mana imali smo plaÄ‡eni doruÄak, no ono Å¡to nas je iznenadilo je bilo to da se piÄ‡e (sok) koje bi naruÄili uz taj doruÄak dodatno naplaÄ‡ivalo, Å¡to nigdje nije bilo napomenuto.",negativan
"Gljivice u kupatilu, otpale fuge. Lokacija je malo dalje od centra.",negativan
"Problem sa parkingom, nema lift niti osoblje koji bi pomoglo sa prtljagom",negativan
Sve je bilo super,negativan
"Jedini nedostatak, staklena kabina ili zavesa na kadi za tuÅ¡iranje! Koliko god se trudio da se tuÅ¡iraÅ¡ paÅ¾ljivo, voda prska svud okolo i pod pliva u vodi!",negativan
Domacin nas nije docekao a i kad smo odlazili nije bio tu da nam izda racun,negativan
NiÅ¡ta posebno nemam da zamjerim.,negativan
"Televizor postoji, ali se ne moÅ¾e koristiti, parking se naplaÄ‡uje dodatno 15eura po danu, s obzirom da smo gosti po meni velika cijena.",negativan
"Dobro bi doÅ¡lo malo viÅ¡e dodatne rasvjete,ali to je samo moje miÅ¡ljenje :)",negativan
"u apartmanu je bilo jako hladno, grijanje ne radi tako da smo se grijali na klimu",negativan
Izuzetno neljubazna recepcionerka,negativan
"lep apartman a nema Å¡ampon za kosu, kupanje sa sapunom za ruke",negativan
Nije mi se dopalo samo Å¡to nisam imala duÅ¾i boravak.,negativan
"Nije nam se svidjelo to sto su renovirali objekat odnosno postavljali su nove plocice u hodniku pred gostima mozda smo cak i jedini gosti bili u to vrijeme. Morali smo preskakati preko materijala i alata da bi dosli do sobe... Sto se tice sobe u kojoj smo boravili cistoca nije bas na zavidnom nivou, hladno nam je bilo nisu nam htjeli dati daljinski od klime, takodje nismo imali daljinski od televizora kanale smo morali prebacivati preko resivera rucno. Takodje nije bilo stolica, kao niti kasikice i solja za kafu. Sve u svemu smjestaj jako los i nije kao sa slika, slike su fotosopirane...",negativan
Malo vise je vruÄ‡e za spavanje ðŸ˜Š,negativan
"Izuzetno mala soba, Ã§iji odrejeni delovi su u stanju raspadanja,  Konstantan neprijaran miris iz kupatila.
Neljubazno osoblje.
Pogled iz zone sumraka..",negativan
Sjajan hostel! Uvek Ä‡u se vraÄ‡ati kad god sam u Beogradu.,negativan
Fenomenalno mesto ðŸ˜Š,negativan
Nema negativnosti...,negativan
Nemam zamjerki.,negativan
"DoruÄak bi mogao biti bolji, raznovrsniji.",negativan
"Voda za tuÅ¡iranje je bila mlaka, oba dana, nadam se da inaÄe nije tako. NameÅ¡taj i tepih u dnevnoj sobi zahtevaju dubinsko ÄiÅ¡Ä‡enje.",negativan
"Parking je uvijek pun gostiju iz restorana, i nema dovoljno mjesta za goste hotela. DoruÄak je prekasno za goste koji su doÅ¡li poslovno.",negativan
"u toaletu se osjeca neprijatan miris , sobe vec â€œpotroseneâ€",negativan
bez primjedbi.,negativan
Jedino Å¡to mi se nije dopalo su papuÄe koje nisu za jednokratnu upotrebu,negativan
Klima je stara i jako loÅ¡e radi.,negativan
"Neljubaznost domaÄ‡ina, nemoguÄ‡nost plaÄ‡anja karticom",negativan
"Za svaku pohvalu, lokacija za 10 sami centar grada, blizina garaÅ¾e, sve je za 10 Vidimo  se uskoro. Preporuke",negativan
"Nema kuhinje, nema case, niti soljice, 
vrlo cesto nema nikog na recepciji",negativan
"DoruÄak je skroman, nikakav",negativan
"DoruÄak bi mogao biti malo bogatiji, jaja iako su bila interesantno peÄena, malo su se osuÅ¡ila, namaz od Äokolade je bio skoro pa suh, izgleda da je dugo stajao.",negativan
OdliÄno unutraÅ¡nje ozvuÄenje.,negativan
"Nismo dobili apartman koji smo rezervisali preko Booking-a, nego obiÄnu sobu. To smo shvatili tek kada smo uÅ¡li u sobu. Kada smo se poÅ¾alili, odobren nam je popust od 20% iako je nama sa razlogom trebao baÅ¡ apartman. Ujutru nije bilo tople vode, pa smo se tuÅ¡irali sa hladnom vodom.",negativan
Nemam posebnih zamjerki za smjeÅ¡taj.,negativan
sve je ok,negativan
Sve je bilo u najboljem redu!,negativan
Neudoban krevet u spavacoj sobi.,negativan
Na stranici je pisalo jedna kvadratura a dobili smo dosta manju..,negativan
"Kopalnica je Å¾e zelo dotrajana, lahko bi jo obnovili. Manjkalo je veliko posode v kuhinji.",negativan
Kreveti su dotrajali i ne baÅ¡ udobni. Grejanje je moglo da bude bolje.,negativan
uvijek moÅ¾e bolje.,negativan
"Prvi dan sam doÅ¾ivio neprijatnost, jer sam dobio, umesto bookiranog dvosobnog apartmana, mali mraÄni studio apartman, koju ""greÅ¡ku"" je vlasnik ispravio sledeÄ‡eg dana.",negativan
"Sve mi se svidjelo samo imam par korisnih prijedloga.Stavila sam jastuke na pod ispred vrata da mi u sobi bude  mirnije od eventualne buke s hodinika i to je funkcioniralo.Bilo bi super da u sobi ima vece ogledalo i par kuka na zidu,isto tako par kuka u wc-u,kad se umivas nemas gdje da okacis peskir.",negativan
Nedostaje joÅ¡ jedna stolica i barem plastiÄne ÄaÅ¡e u sobi.,negativan
"Kupatilo, tuÅ¡ je bio pokvaren. Nije se moglo kupati.",negativan
Sto smo prekratko ostali ðŸ™‚,negativan
organizacija na parkingu je kaoticna,negativan
"Parking koriste i ljudi koji nisu gosti pa je Äesto pretrpan, ali uspije se pronaÄ‡i mjesto na straÅ¾njoj strani.",negativan
Osoblje na recepciji treba bude profesionalnije i usluÅ¾nije.,negativan
Fali cebe ili step deka za pokrivanje...,negativan
Velika guÅ¾va na parkingu u popodnevnim satima zbog restorana hotela.,negativan
Jako ugodan hotel i osoblje. Divan restoran i udobni kreveti.,negativan
Jedan od retkih hotela gde nemam ni jednu zamerku,negativan
"Parking za vikend je nocna mora.
Gosti restorana zauzmu parking i sile nema da se negde parkiras.
Ako budemo prestali da dolazimo bice samo zbog toga.",negativan
"Lokacija hotela nalazi se na prometnoj poziciji pa ponekada moÅ¾e smetati buka grada, no obzirom na hotele u blizini Botanica ima puno bolje rijeÅ¡en problem zvuÄne izolacije. Ponekad se ostjeti neugodan miris iz WCa, vjerojatno kada je juÅ¾ina.",negativan
"Buka u zgradi i nocu, a ujutru u 8h je neko lupao cekicem
Spor lift, dugo se ceka
Dva kreveta skripe uzasno
Mracna dnevna soba
Garaza se ne zakljucava
Neko mi je podigao sva tri brisaca na autu na garaznom mestu
Cela zgrada ili dobar deo stanova u zgradi se rentira, tako da mira nema
Precenjen stan, jednostavno preskup za to sto nudi",negativan
Sve pohvale,negativan
"Pretjeran broj ljudi na recepciji koji ni ne ustanu tokom prolaska ili prilaska gostiju samoj recepciji. Kada je u redu viÅ¡e gostiju samo glavna recepcionerka usluÅ¾uje goste, ostali izigravaju dekoraciju dok gosti Äekaju.",negativan
"Nemam nikakvih prevelikih zamjerki, jedina mana je sto se osjetio dosta miris dima u hotelu, nisam sigurna odakle je dolazio taj miris buduÄ‡i da je u hotelu navodno strogo zabranjeno pusenje.",negativan
Hotel nema parking i to nam se reklo tek nakon rezervacije i uplate.,negativan
"Dorucak nije bio dobar, niti pristup na kat -2 gde je prostor za dorucak.",negativan
Izuzetno slab dorucak-kada smo dosli sto je bio vise prazan nego pun!,negativan
"Miris u kupaonici, jako se osjetio smrad iz odvoda.",negativan
malo sadrÅ¾aja,negativan
All good,negativan
"Prozori se otvaraju ukoliko vjetar duva, bravarija je uzasna, cujete sve sa ulice. F&B zaposleni se svadjaju ispred gostiju, konkretno covjek iz kuhinje nasrtao na konobaricu. Jako neprijatno.",negativan
WC Miris kanalizacije.,negativan
"Primili su rezervaciju, a znali da neÄ‡e imati vode. Rezervisao sam za dvoje, dobio jedan jastuk sa jastuÄnicom, jednu ÄaÅ¡u. FriÅ¾ider ugaÅ¡en, prazan. Osoblje otiÅ¡lo, nakon naÅ¡eg dolaska. Balon sa vodom nas je saÄekao tek ujutru ispred vrata. Da imam vremena da se bavim ovakvim skandalima traÅ¾io bih sav novac nazad.",negativan
"Nadoplatili smo na bookingu sobu sa koristenjem wellnessa, meÄ‘utim u hotelu nas nisu upozorili da za koristenje wellnessa trebate najaviti ranije jer je privatni i kad netko uÄ‘e zauzet je na 2 h, takoder ako je i slobodan treba ga prije zagrijati (jacuzzi, saunu). Ja sam bila te srece da je bio slobodan ali obzirom da nisam najavila ranije svoj dolazak nazalost imala sam hladan jacuzzi i prostoriju. Mala zamjerka ali to treba reci unaprijed gostima na check in-u.
Drugo sve odlicno",negativan
Hladno u sobi,negativan
Muzika iz restorana,negativan
Promenite boju zida iz sive u bilo koju drugu,negativan
"U stanu je bilo poprilicno hladno i lift nije radio, a stan je na 6 spratu",negativan
"nije toÄno kao na slikama te prostor djeluje staro. kuhinja je puno koriÅ¡tena i nije odrÅ¾avana. apartman jako smrdi jer iz odvoda u kupaoni dolazi uÅ¾asan smrad prilikom puÅ¡tanja vode. 
golubovi su kraj svakog prozora tjekom cijelog dana te dosta buke dolazi iz ulice. ukoliko Å¾elite miran odmor vikendom u apartmanu, ovo nije za vas, jer puno gostiju izlazi vikendom te prave buku.",negativan
Udobniji kreveti i higijena,negativan
ima nedostataka mini bar je prazan fen za kosu nije radio kafe nema,negativan
Hidromasazna kada nije bila dostupna iako je navedena u ponudi.,negativan
Neljunaznost domaÄ‡ina,negativan
Mozda da ima vrata na spavacu sobu radi vece privatnosti kad u njemu borave vise od dvoje ljudi.,negativan
"Nije bilo dovoljno informacija o samom prilazu i unutraÅ¡njosti. Stepenice kojima se dolazi do apartmana su spiralne i jako uske pa samim tim i nebezbedne, lift nije radio. Deo apartmana gde se nalazi krevet za spavanje je jako skuÄen odmah pored ulaznih vrata, nema mesta za odlaganje garderobe.",negativan
Buka iz susjedne mts dvorane no nije trajalo predugo u noc..,negativan
"Krevet je bio neudoban, jastuk neprikladan za ugodno spavanje.",negativan
"Ako baÅ¡ trebam traÅ¾iti zamjerke istaknuo bih da Ä‡e hotel uskoro trebati renovaciju, a pod tim mislim posebice na kupaonicu.",negativan
Nimam pripomb.,negativan
"Terasa na kojoj je dozvoljeno puÅ¡enje nije namjeÅ¡tena. Bilo bi lijepo da jest,nevezano jel zima ili ljeto.",negativan
DoruÄak,negativan
Nedostaje ogledalo u sobi.,negativan
Lift prilikom koriÅ¡tenja ima trzaje pa smo nekada imali osjeÄ‡aj da smo se zaglavili,negativan
U tus kabini su polupane ploÄice.. vrlo lako se povrijediti ..i svakako nije poÅ¾eljno ni lijepo vidjeti neÅ¡to sliÄno.,negativan
"nije mi se nista dopalo smestaj je uzasno prljav i gadan uopste nije kao na slikama probacu da trazim povracaj novca jer u ovakav smestaj ne bi dzaba vise boravio da mi nude koliko je loÅ¡ , krevet neudoban posteljina je prljava na jastucima i prekrivacu sve zute fleke gadno je bilo za spavanje i ni jednom za 6 dana niko od osoblja nije usao ni da promeni posteljinu ni zameni peskire ili usisa sramota , zavesa u sobi pokriva samo polovinu prozora tako da ljudi sa ulice gledaju u sobu , bucno je izolacija nikakva prozor nije mogao ni da se zatvori lepo jer iz sobe ide neki kabal ka napolju , wc isto prljav ispucala keramika svuda za 6 dana ni jednom nije ciscen iz wc-a se osecalo na kanalizaciju pa se smrad sirio po celoj sobi cim se otvore vrata , tv namestem na turski jezik i treba procedura dok se namesti da nadjes kanale a ima sedam kanala , za tolike pare koliko je bio usluga ja nikakva smestaj takodje nikakav rupa , stavio sam i slike neke samo nisam mogao sve da ubacim ovde da vidite ne bi ovaj smestaj preporucio nikom ni da je besplatan , samo da nisam navukao neku koznu infekciju od prljavstine i one posteljine.",negativan
"Recepcija nije radila u vreme kada sam najavila dolazak, iako piÅ¡e da radi 00-24. Soba je bila suviÅ¡e mala i sa prozorima gotovo bez dnevne svetlosti. Nije u pitanju hotel kao Å¡to stoji u naslovu.",negativan
"Super lokacija, divno nasmijano osoblje",negativan
"izolacija zidova, sve se Äuje",negativan
"Dorucak je bio moja jedina zamerka. NiÅ¡ta veganski nije bilo u ponudi , sve ponude na karti bile su kombinacija jaja , sira i suhomesnatih proizvoda . Pitala sam konobara da li mogu dobiti neÅ¡to veganski , Å¡ta god, ponudio mi je riÅ¾oto sa povrÄ‡em i to je bilo vise nego ok.ali nije me obavestio da Ä‡u to morati da platim i dorucak koji nisam uzela( kombinacija sa jajima, sirom i suhomesnatih  proiz. ) i veganski dorucak i dodatak sto sam potraÅ¾ila da zaljutim riÅ¾oto .Tako da sam bila neprijatno iznenadjena kad sam proÄitala u raÄunu pri izlasku iz hotela.",negativan
Nemam primedbi.,negativan
Menadzerke koj su bili na Sam pult Recepcija bez iskustvo su totalno ne zadovoljan posebno Sefica Po Ime Jelena,negativan
X,negativan
"U prizemlju je sala za proslave.Nenormalna buka ,za odmoriti se i naspavati vikendom tesko.",negativan
"Ispod sobe u kojoj sam boravila nalazi se uredjaj od ventilacije kuhinje koji je neprestano brujao i po danu i po noci. Obavjestila sam recepciju i rekli su da ce noÄ‡u da ugase ali nisu ni jednu od 3 noÄ‡i koje sam provela. Uglavnom cu pamtiti boravak po neprospavanim noÄ‡ima.
Hotel ima dosta prednosti ali ovakvi propusti nisu korektni za novac koji sam platila.",negativan
Slab pritisak vode u tuÅ¡u,negativan
Sve nam se dopalo! Sjajni ste!,negativan
Preslab pritisak vode u tuÅ¡u,negativan
Koristio sam jednokrevetnu sobu i kupatilo je baÅ¡ malo.,negativan
Mozda malo provjeriti kupatilo,negativan
"Radiator je zujao celu noÄ‡
Nije bilo tople vode u bojleru - kada smo doÅ¡li u Apartment",negativan
"Nije mi se dopalo, zato sto se u zimskom periodu grije na klimu i na grijalicu a centralno grijanje ne radi.
U kupatilu je radijator pokvaren, ne moze se upaliti, hladno kupatilo ne moze se kupati.
Nema kuhinjske krpe, nema papuca, sami go pod.
Apartman je prljav, ugaona secija toliko prljava da ne znam kada je poslednji put ociscen. Nasli opusak cigare.
Zidovi ogreljani, a na slikama stoji drugacije.
Zamalo nije me ubila struja na uticnici kada sam htjeo puniti telefon.
Nema ves masine, nema mikrovalne...
Podzemna garaza otvorena, moze svako uci i rekli su da ima obezbjedjenje a nismo ga uopste vidjeli.
Osoblje neljubazno.
Te pare ne vrijede ovakvog smjestaja.
Za te pare moze se bolje naci smjestaj.
Decembar.2022",negativan
Bilo je ruzno vrijeme,negativan
Bezobrazluk od strane zaposlenih,negativan
"Nisam dobio Å½eljeni aprtman nego su mi dali drugu adresu i prebacili u Hotel ali mi to nisu rekli da idem u hotel i da necu dobiti aprtman..da sam to znao uzeo bih novac nazad i trazio drugi smestaj ivako sam morao da cutim i prihvatim tu sobu jer nisam imao izbora i da se zalim i rizikujem da me neko izbaci a dok bi dobio novac nazad to u srbiji traje dugo, tako da sam cuteo i sedeo u toj maloj sobici i ne volim hotele uopÅ¡te zato stalno i uzimam apetmane jer ima viÅ¡e slobode  u njima i prostora",negativan
"Za uloÅ¾eni novac nisam oÄekivala da Ä‡u sama navlaÄiti posteljinu.
Jastuk zut i star, morala sam navuci 2 jastucnice da bi se moglo spavati na njemu.
U stanu sve minimalno i osnovno, namjestaj kao iz Ikee. Nema nikakve police u kupatilu da mozes ostaviti stvari.
Nema vjesalice za jakne, nego neka jadna sipka sa vjesalicama u spavacoj sobi.
Kuhinja - minimalizam totalni, nema kante za smeÄ‡e.
Stepenice kojima se ide u stan preuske, jedva se popnes. Lift ide samo ka dole. Parking u blizini, al katastrofa koliko je usko i tesko za parkirati.
Sve u svemu ne bih ponovo disla tu za toliko para. Nije vrijedno. Na slikama sve izgleda ok, uzivo bas i ne.",negativan
"Brujanje klime od koje se ne moze spavati,u kednoj sobi",negativan
Za pusace obezbediti prostoriju u skladu sa zakonom,negativan
Nemam zamerki.,negativan
Neudobni jastuci,negativan
"Problem je naÄ‡i parking mesto u blizini
ZajedniÄko kupatilo",negativan
Nema kuhinje i sto su toaleti zajednicki,negativan
Osoblje na recepciji nije bas veoma raspolozeno i nije se bas potrudilo oko organizacije taksija,negativan
"Dosta stvari u sobi je bilo ili osteceno ili dotrajalo. Mali prozor u sobi bez ikakvog pogleda. Previse natpisa upozorenja za ostecivanje stvari, svaki gost je svjestan da sobu koristi paznjom dobrog domacina",negativan
"GaraÅ¾na hiÅ¡a je sicer v bliÅ¾ini, dobro bi bilo, da bi hotel zagotovil vsaj moÅ¾nost kratkotrajnega parkiranja ob orihodu in odhodu.",negativan
Trebali bi biti malo bolje informirani o prijevoznim sredstvima u gradu i dostupne info na recepciji o voznom redu javnog prijevoza.,negativan
"U ovom hotelu odsedamo vec 3 god.
Kad god smo u Bg-u,odsedamo tamo.
Prvo smo preko booking-a dobili upgrade za apartman po ceni sobe.Samo sat vremena kasnije stize poruka da cemo ipak biti u sobi iz tehnickih razlogaðŸ¤¨.
Soba u kojoj smo bili smesteni je kao i sve ostale sobe u hotelu,ali kupatilo je katastrofalno.
Budj u tus kabini,na plocicamaâ€¦bas,bas grozno.Lampa ne radi jer nema sijalicu,daljinski sam nosila na recepciju da mi zamene baterije.
Da ne komentarisem proslave koje se organizuju svakog vikenda pa nemas mesta za parkiranje,a muzika ispod tebe bije do ponoci,tako da ako ste za vikend krenuli da slucajno odmorite,preskocite ovaj hotel.",negativan
Dorucak je siromasan . Oskudan,negativan
nije bilo tople vode ujutru,negativan
"Nije bilo tople vode ni uveÄe a ni ujutru. Rekao bih i da su smanjeni normativi kada je doruÄak u pitanju.
Sve to se naravno nije odrazilo na cenu u znak razumevanja.",negativan
"Kreveti i madraci istroseni i neudobni. Trosjed i pod prljavi, to bi se ipak s vremena na vrijeme dalo kemijski ocistiti.",negativan
"cela soba oseÄ‡a na farbu, smrdi wc, jedan peÅ¡kir je prljav Äak joÅ¡ mokar. hteli smo da promenimo sobu ali naÅ¾alost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",negativan
